_sOO32rszOs,,"Pc Rent Occurred Live    : Dr Pradip Mohanta - 4th May, 2024",This surgery video is only for education purpose.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qs_c_YlCM5g,,"""Lens Tilt Technique"" for Soft Cataracts: Pradip Mohanta, Jan14, 2019",It is a beautiful Technique. No chance of PC rent and no risk of endothelial cell decompensation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y82jpDegXBU,,"Rhexis ran off at the FIRST prick : Argentine Flag sign, 16th Dec, 2018",This 12 year old boy underwent surgery of the other 4 years ago. This eye was supposed to be operated 2 or 3 weeks after surgery of the first eye.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jAGIUTXRzJ0,,Always include some capillaries in your incisions -- Why?,"There are lot of talks on use of intracameral antibiotics. But, Nobody talks about this.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HJAc4kx-FcY,,"The HAT (Hold And Tilt) Technique for SOFT Cataracts: Pradip Mohanta, 14th Dec, 2018",The Femtosecond Laser will not help you manage soft cataracts. You have to find out your own Technique. You may try this one.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TZtro7tDSw0,,"Pterygium Rhexis with CAG using conjunctiva of the same area : NEH, Nov 30, 2018","We know that conjunctiva is benign and it is the subconjunctival connective tissue that is the real culprit.
So, in this novel concept, the subconjunctival tissue is dissected, trimmed and treated with mitomycin-c. 
Recurrence in our centre is 1 in 1000. It can be a a topic of further study.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aQ6V1PQJZs4,,"Bring out the possibilities hidden within you : Pradip Mohanta, 6/11/2018","In Sanskrit, ""Tapashya"" means whole-hearted perseverance with 100% concentration. 
To improve surgical skills, to give vision to a blind person, one has to do ""Tapashya"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3KYNzujfdqA,,Is it a Posterior Polar Cataract?: My hand movements go along with "Anxious Thoughts",This is an unedited surgery. It is a DISH (Do It Some-how) surgery. Please watch. Hope it will inspire you to take up  PPCs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D05uOXHR8pc,,Excision of Pterygium with CAG anchored by 2 releasable sutures : Pradip Mohanta,You can have a sound sleep in the night if you fix the graft by two anchoring sutures as shown in this video. It is easy to put releasable sutures and very easy to remove them in OPD on slit lamp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cg_KUaiTI-E,,"Tamoso ma jyotirgamayo : Take me from darkness to light, 9/10/2018","I didn't know what will be the next step in this surgery. All I knew is, ""I sincerely  want to extend my hands to help this lady in her journey from darkness to light.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mQwxhj0SuAM,,"Management of a Recurrent Pterygium : Dr Pradip Mohanta, 05/10/2018","In this case I have put two anchoring sutures on the limbal side of the graft.  
To learn anterior segment surgeries, write to : pradipmohanta51@gmail.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DdfGAP3rQj4,,"Management of a Nucleus Drop : 05/10/2018, Pradip Mohanta",Within a few months I wish to buy a BIOM and get rid of irrigating contact Lens.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oUeycr9iY4o,,"If you want to have a very good practice, watch this video : PM, 02/10/2018","Be a master in your trade, raise your skills to astonishingly high level,
Learn to sell your skills,
Develop positive body language & nice communication skills,
Be compassionate and empathetic to your patients.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-WUnEW-1kfA,,"Surgical management of Hyphema : Dr Pradip Mohanta, M.S. (Ophth.)",I have followed up this case for more than one month. She is doing extremely well. Antiglaucoma medications were withdrawn the next day.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gvXodtF09uE,,"welcome from Oslo: If nuclear pieces pop out, what to do?","Always remain in the bag or Iris plane and turn the bevel towards the piece, let it come down to the aspirating port. NEVER CHASE THE PIECE. IF YOU CHASE, YOU MAY DAMAGE CE CELLS.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IhM705dUo8k,,"We can always better our best.. - Pradip Mohanta, 15th September, 2018","There is no way to reach perfection, because we can always better our best. But we achieve excellence in our journey towards perfection. Let us try 100% to become excellent surgeons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JbS_KR9B-h0,,"Patience, more patience, still more patience ... PM, NEH, 11/09/2018",This is management of a hard cataract. The surgery took 27 minutes. It has been reduced to about 20 minutes by editing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yKld7e77aRY,,Overcoming two challenges : Small pupil and non-rotating Nucleus,"This is a long surgery. I didn't edit the surgery so that viewers can follow the surgery better. Hope this video will encourage viewers to take up challenges cases.
My whatsapp: +919734523795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZWLYXnF4AJA,,Slow-motion video of Capsulorhexis by Utrata Forceps : Pradip Mohanta,"Dr Nikhil Kamble asked me to make such a video..
Hope this will help many youngsters.
Whatsapp:+919734523795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n-gGZw5AA8A,,"When Hydrodissection is not satisfactory - P Mohanta, 13/8/2018","Any query/suggestion?
Whatsapp: +919734523795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cczlIJhj6_8,,"The Carousel Technique of Soft-Nucleus-Management : P Mohanta, 9th August, 2018","This Technique is to be attempted by senior surgeons, not by junior surgeons, I think.
Any comment? Whatsapp: +919734523795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yfI4C-9whL4,,"Let me hammer on your head : Pradip Mohanta, M.S.Ophth. (PGI, Chandigarh)","This is a routine surgery. But what is routine for me is a challenging case for a beginner.
Whatsapp me : +919734523795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLhPf_g0pEA,,"Struggles with epinucleus - Dr Pradip Mohanta, M.S.Ophth. (PGI, Chandigarh)","In this case, I had to struggle a lot in removing the epinucleus.
Any suggestion?
Please whatsapp: +919734523795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wiGGsdJWkNE,,Few struggles with B-HEX pupil expander - Dr Pradip Mohanta,"In this case the high nose of the patient caused some problems. See how I overcame those problems.
Any query ? Whatsapp: +919734523795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlSiqLwHV98,,Failed Cart-wheel Technique,"The wheel didn't move after a while, so I had to break the wheel and finish it off...
My whatsapp : +919734523795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KtFkwNyOFAI,,"Let your hands serve as the instruments of God - Dr Pradip Mohanta, India","Let our hands be healing hands. Not only skill, let us develop magical healing power in our hands.  Let it be the instruments of God to bring back vision to the eyes with profound loss of vision. Hope,  the young eye surgeons be inspired through this video.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD8l-tohaqU,,"When the pupil becomes small during Nucleus Management.. - PM, NEH",Use a Y-shaped instrument for meticulous surgery..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rI7QU_ZBRv8,,"Remove Cotton fibre first, then clean visco thoroughly - Pradip Mohanta","I have seen cotton fibres in eyes months after surgery.
We should remove it, as soon as we see it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oWwqhayGXpQ,,Subtenon's Block on Table for patients unable to cooperate with Topical,"If we know how to give Subtenon Block, we can take every patient under Topical. The moment we think that patient is unable to cooperate with Topical, we can inject a 2.5 ml mixture of Lignocaine and Bupivacaine.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W13Cvg1f-e4,,"Posterior capsular catch, Zonular dialysis, Use of CTR","Audio interruption has occurred in this video. Excuse me for that.
my contact:  Whatsapp: +919734523795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0DlHDjydhA,,"INTRAVITREAL  INJECTION  OF ANTI-VEGF - Pradip Mohanta, VR Fellow of SN, Chennai",It is always better to do a paracentesis and let some aqueous leak out. You don't have to worry about raised IOP and ONH decompesation if you do this.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
knCFVUVOdcs,,"Hydrodelineation, ""Stop and Chop"" and ""Bimanual Irrigation and aspiration""","All the steps particularly Hydrodelineation, ""Stop and Chop"" and ""Bimanual Irrigation and aspiration"" have been demonstrated in this video.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vaNrzV8O3Nw,,"Hurdles in moving with B-HEX ... Dr Pradip Mohanta, 26th may, 2018","Do not try to tuck the leading flange if the trailing end of B-HEX is stuck in the main wound. Make some room under the iris to avoid injury to the anterior capsule.
Any query may be directed to me or to the inventor, Dr Suven Bhattacharjee .. Call/Whatsapp: +919830060348",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EjrRYhFiES4,,When the pupil is small ... Dr Pradip Mohanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3ixytW01N3Y,,"How I enlarged the small rhexis in this case - Pradip Mohanta, 12th May, 2018","Any suggestions?
Whatsapp : +919734523795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QG5BTnKLK2Y,,"I am making this video in the midnight...Why ?       The 6th May, 2018","We need thousands of competent safe hands to eradicate blindness owing to cataracts.
For any comment, Whatsapp :+919734523795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ph2x26SCrLI,,Stubborn posterior plate ? Do manual separation of the nuclear fragments ... P Mohanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5CMc7zCvQ0E,,When pupil becomes small during emulsification of nuclear fragments...,This video shares some tricks to manage such a case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3zWYcIHzRNg,,"Let us see what we can do for this eye.. 17th April, 2018 : Pradip Mohanta",It was a free service from me to a poor patient.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tIxiKe3WZJE,,Please Raise your skill & help someone see the world clearly - Pradip Mohanta,Raise your skill to such a level that you do not need a Femtosecond Laser for capsulorhexis and softening the nucleus.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fyA4_szTToo,,"Converting a P C Rent into a Posterior Continuous Capsulorhexis - PM, 10/4/2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thtrzaUlN3Q,,"What is ""Mechanical Chop"" ? - Dr Pradip Mohanta, 10th April,2018","Any input ? 
Whatsapp : +919734523795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lpbVCaMK5qw,,"If you master ""Submarine Chop"", you will not think of ""Prechop"" - P Mohanta","To express your opinion:
Telegram/Whatsapp: +919734523795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yBaSXmM3nn4,,"Optical Iridectomy, TA Lavage and Release of Iridocorneal adhesions - PM, 5th April, 2018",There is PCO also in this case which I will treat by YAG laser in a few weeks.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l3VKq1Qsb-k,,"The Carousel or Cart-Wheel Technique of Nucleus management - PM, 27/3/2018","It is a fun to attempt  techniques which is new to me.
I encourage surgeons to master  skills that are new to them.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s2Hm2AbJeAI,,"Rescuing Rhexis - Dr P Mohanta, Netrajyoti Eye Hospital, Ranaghat, India",Pull it centripetally about 30 degree away from the line joining the run-away point and the centre of the pupil.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XIZhiKnWrYI,,"Nucleus management of Grade 2+ NS - P Mohanta, 25th March, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMUwRaOPzk0,,"B-HEX, the versatile hexagonal pupil expander - P Mohanta, 23rd March, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFY_WdNie_g,,"A hard nucleus with 5 mm pupil managed without Iris hooks - PM, 23/03/2018","Tips:
Chop the nucleus into at least 6 fragments, then start emulsifying..",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3TKsN854ikA,,"Posterior Zonular fibres were torn.. CTR used to support capsular bag.. PM, 23/3/2018","We must keep an eye on what is happening during surgery. Proper measures at the right time made this surgery a good one.
For any query/suggestion:
Whatsapp : +919734523795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g64XfFP7W90,,"P C rent with Nucleus Drop into vitreous cavity - P Mohanta, 20th march, 2018","I did one year's Vitreoretinal fellowship at Sankara Nethralaya, Chennai in 1993-94. With that knowledge, I can manage nucleus drops.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VajFqPj6Xxs,,"Cover the lid margins with plastic drape - P Mohanta, 18th March, 2018",Take the Eye Lashes of upper eye lid in a fold of the plastic drape.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46itQDTzLMc,,"Management of a very soft nucleus - P Mohanta, 15th march, 2018",DISH technique. It is not a desperate Technique. It is a combination of your experiences..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VqFZXdPhDLw,,Small pupil : Nucleus management without pupil dilating device - P Mohanta,"""DO SOME MANUAL WORK""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FP02_AyNRU8,,If the Capsulorhexis becomes small...,"To prevent capsular phimosis. enlarge it any time.
Best time is, probably, after implanting the IOL.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BcV43NdQsSM,,"Conquering a stubborn leathery posterior plate - P Mohanta, 2nd March, 2018",In this video US energy has been used to attack the point where the pieces remain attached.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vGJ-cZ3Uk18,,Tent the anterior lip of the main incision while using Utrata forceps for Capsulorhexis,"It is a joy using Utrata forceps. Needle also is fine. But I think, Utrata enables us to have more control over the anterior capsule.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cJavz73yh4U,,How to assure a patient who is unable to cooperate ?,"We must not shout at these patients.
If we shout, they become more uncooperative.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86Qg-2pB6k8,,video-4: Adding my voice to my videos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ul_dso0liVo,,"video-4, mixing my voice to my eye surgery videos - P Mohanta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qabhnj7ZvA4,,"Video-3, adding voice to videos - P Mohanta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aNJu5IUwmvI,,"video-2, editing the recording of surgery - P Mohanta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cCNz2nos_1c,,video-1 recording surgery - P Mohanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7OpbbfATvk,,B-HEX in  IFIS - P Mohanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hpp8Z8Vuxa0,,"B-HEX, The Hexagonal pupil expander - learning ""Curve"" is ""Straight""",This video shows how easily we can apply a B-HEX and how easily we can remove it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eXV6UgvstkI,,Remove visco from corneal endothelium before conclusion of surgery,"If we direct a fluid jet towards corneal endothelium, the viscoelastic substanc sticking to corneal endothelium gets dislodged and removed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IB--p9Nclwk,,How to manage a leathery posterior plate in a hypermature cataract...?,"A leathery posterior plate is a matter of disgust to many...
But..."" Don't wish, if
it were easier,
.................
Wish, you were better.
Don't wish for less problems,
Wish for more skills..
Don't wish for less challenges,
Wish for more wisdom."" -- Jim Rohn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y6KXryPRHVA,,How to avoid Argentine Flag (Rhexis Runaway) in Intumescent Cataract?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yJiqMkaQM7Q,,"Thinnest and best Pupil-expansion-device is B-HEX - P Mohanta, 19/12/2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSBjKCLOOdE,,"Use 23 G forceps to apply B-HEX , a beautiful Hexagonal pupil expansion device",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4RY8lvFOHx8,,"IF YOU DO NOT HAVE FEMTO, THIS IS THE WAY TO GO..",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nlBhmiuCfFM,,"Rhexis larger than pupil, use of Bimanual IA, and the idea of Langarkhana","At the Langarkhana (Kitchen and dining place) at the Golden temple at Amritsar, India the utensils are cleaned at different stages. I took that idea of cleaning Visco out of AC in different stages.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fMzxhPjYFyk,,"P C Rent on 4th December, 2017 - not managed in recommended ways",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAUJ5Z7tQ1s,,"B-HEX  pupil expander - Tucking with 23 G forceps,  P Mohanta, 2/12/2017",This is first time I am using a 23 G Forceps to tuck the flanges of B-HEX. It was really easy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KVGPdSCbD8E,,Posterior capsule protector (PCP) a new instrument to prevent PC Rent,"In many cases P C rent occurs during emulsification of last piece. This instrument can protect posterior capsule at that time. It has been designed by me and made by Joja Surgicals, West Bengal, India,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7SD4m4L_2_A,,P C rent - It's a crime not to do cortical cleaving hydrodissection well..,"I did the crime. What punishment do I have to shoulder ?
Whatsapp: +919734523795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#NAME?,,"Pupil is not distorted by iris hooks - Dr Pradip Mohanta, M.S. (Ophthalmology)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2CZYG1lkMA,,"What to do ""WHEN YOU CAN'T CHOP"" - Dr P Mohanta, M.S.(Ophth.)","31st Oct, 2017
Dear colleagues,
Please share your thoughts and deeds that may benefit the human beings..
For any comment, whatsapp : +91973452375",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F9Mq7IU30rY,,"What to do when Rhexis becomes small ? - Pradip Mohanta, Oct 11, 2017",For Long term fellowship in anterior segment surgeries or for any query Whatsapp :+919734523795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yduPgagoyII,,"The classical ""Submarine Chop"", the sure way to divide nucleus - P Mohanta","For Any query ,
whatsapp : +919734523795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0Q08RRUS2R0,,"A  hypermature morgagnian cataract... Develop rock steady hands.. PM, 8/10/17","Challenges: 1. high IOP, 2. Small Pupil, 3. Free-floating hard nucleus, 4. No Epinucleus.
For any query whatsapp :+919734523795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3y9wr_XBxqc,,"Manage last bits of nucleus safely, I want you to be a safe surgeon - P Mohanta","In the quest of lifelong good vision of a person, let us be surgeons with patience, with good judgement. Let us be safe hands of God.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
